with_pinyin_part.part_type:string,:SRC_VID(string),:DST_VID(string)
final,ji2,i
initial,chu1,ch
final,chu1,u
initial,chu1,ch
final,chu1,u
initial,lv4,l
final,lv4,v
initial,lv4,l
final,lv4,v
initial,chu1,ch
final,chu1,u
initial,chu3,ch
final,chu3,u
initial,jin4,j
final,jin4,in
initial,tui4,t
final,tui4,ui
initial,chu1,ch
final,chu1,u
initial,chu3,ch
final,chu3,u
initial,shu1,sh
final,shu1,u
initial,tu2,t
final,tu2,u
initial,chu1,ch
final,chu1,u
initial,chu3,ch
final,chu3,u
initial,shu1,sh
final,shu1,u
initial,tu2,t
final,tu2,u
initial,chu1,ch
final,chu1,u
initial,chu3,ch
final,chu3,u
initial,yu3,y
final,yu3,u
initial,mo4,m
final,mo4,o
initial,chu1,ch
final,chu1,u
initial,ci2,c
final,ci2,i
initial,tu3,t
final,tu3,u
initial,qi4,q
final,qi4,i
initial,chu1,ch
final,chu1,u
initial,di2,d
final,di2,i
initial,bu4,b
final,bu4,u
initial,yi4,y
final,yi4,i
initial,chu1,ch
final,chu1,u
initial,di2,d
final,di2,i
initial,yi4,y
final,yi4,i
initial,wai4,w
final,wai4,ai
initial,chu1,ch
final,chu1,u
final,er3,er
initial,fan3,f
final,fan3,an
final,er3,er
initial,chu1,ch
final,chu1,u
initial,fan2,f
final,fan2,an
initial,ru4,r
final,ru4,u
initial,sheng4,sh
final,sheng4,eng
initial,chu1,ch
final,chu1,u
initial,gong1,g
final,gong1,ong
initial,wang4,w
final,wang4,ang
initial,si1,s
final,si1,i
initial,chu1,ch
final,chu1,u
initial,gu3,g
final,gu3,u
initial,qian1,q
final,qian1,ian
initial,qiao2,q
final,qiao2,iao
initial,chu1,ch
final,chu1,u
initial,guai1,g
final,guai1,uai
initial,lu4,l
final,lu4,u
initial,chou3,ch
final,chou3,ou
initial,chu1,ch
final,chu1,u
initial,guai1,g
final,guai1,uai
initial,nong4,n
final,nong4,ong
initial,chou3,ch
final,chou3,ou
initial,chu1,ch
final,chu1,u
initial,gui3,g
final,gui3,ui
initial,ru4,r
final,ru4,u
initial,shen2,sh
final,shen2,en
initial,chu1,ch
final,chu1,u
initial,he2,h
final,he2,e
initial,dian3,d
final,dian3,ian
initial,ji4,j
final,ji4,i
initial,chu1,ch
final,chu1,u
initial,he2,h
final,he2,e
initial,jing1,j
final,jing1,ing
initial,dian3,d
final,dian3,ian
initial,chu1,ch
final,chu1,u
initial,hu1,h
final,hu1,u
initial,fan3,f
final,fan3,an
initial,hu1,h
final,hu1,u
initial,chu1,ch
final,chu1,u
initial,hu1,h
final,hu1,u
initial,yi4,y
final,yi4,i
initial,biao3,b
final,biao3,iao
initial,chu1,ch
final,chu1,u
initial,hu1,h
final,hu1,u
initial,yi4,y
final,yi4,i
initial,liao4,l
final,liao4,iao
initial,chu1,ch
final,chu1,u
initial,hu1,h
final,hu1,u
initial,yi4,y
final,yi4,i
initial,wai4,w
final,wai4,ai
initial,chu1,ch
final,chu1,u
initial,hu1,h
final,hu1,u
initial,yu4,y
final,yu4,u
initial,liao4,l
final,liao4,iao
initial,chu1,ch
final,chu1,u
initial,jiang4,j
final,jiang4,iang
initial,ru4,r
final,ru4,u
initial,xiang4,x
final,xiang4,iang
initial,chu1,ch
final,chu1,u
initial,kou3,k
final,kou3,ou
initial,cheng2,ch
final,cheng2,eng
initial,zhang1,zh
final,zhang1,ang
initial,chu1,ch
final,chu1,u
initial,kou3,k
final,kou3,ou
initial,ru4,r
final,ru4,u
final,er3,er
initial,chu1,ch
final,chu1,u
initial,kou3,k
final,kou3,ou
initial,shang1,sh
final,shang1,ang
initial,ren2,r
final,ren2,en
initial,chu1,ch
final,chu1,u
initial,lei4,l
final,lei4,ei
initial,ba2,b
final,ba2,a
initial,cui4,c
final,cui4,ui
initial,chu1,ch
final,chu1,u
initial,mai4,m
final,mai4,ai
initial,ling2,l
final,ling2,ing
initial,hun2,h
final,hun2,un
initial,chu1,ch
final,chu1,u
initial,mo4,m
final,mo4,o
initial,bu4,b
final,bu4,u
initial,chang2,ch
final,chang2,ang
initial,chu1,ch
final,chu1,u
initial,mo4,m
final,mo4,o
initial,wu2,w
final,wu2,u
initial,chang2,ch
final,chang2,ang
initial,chu1,ch
final,chu1,u
initial,men2,m
final,men2,en
initial,he2,h
final,he2,e
initial,zhe2,zh
final,zhe2,e
initial,chu1,ch
final,chu1,u
initial,men2,m
final,men2,en
initial,ru2,r
final,ru2,u
initial,bin1,b
final,bin1,in
initial,chu1,ch
final,chu1,u
initial,men2,m
final,men2,en
initial,ying1,y
final,ying1,ing
initial,zhe2,zh
final,zhe2,e
initial,chu1,ch
final,chu1,u
initial,mou2,m
final,mou2,ou
initial,hua4,h
final,hua4,ua
initial,ce4,c
final,ce4,e
initial,chu1,ch
final,chu1,u
initial,mou2,m
final,mou2,ou
initial,hua4,h
final,hua4,ua
initial,ce4,c
final,ce4,e
initial,chu1,ch
final,chu1,u
initial,mou2,m
final,mou2,ou
initial,xian4,x
final,xian4,ian
initial,ce4,c
final,ce4,e
initial,chu1,ch
final,chu1,u
initial,nei4,n
final,nei4,ei
initial,zhi1,zh
final,zhi1,i
initial,lin4,l
final,lin4,in
initial,chu1,ch
final,chu1,u
initial,na4,n
final,na4,a
initial,zhi1,zh
final,zhi1,i
initial,lin4,l
final,lin4,in
initial,chu1,ch
final,chu1,u
initial,nu2,n
final,nu2,u
initial,ru4,r
final,ru4,u
initial,zhu3,zh
final,zhu3,u
initial,chu1,ch
final,chu1,u
initial,qi2,q
final,qi2,i
initial,bu4,b
final,bu4,u
initial,bei4,b
final,bei4,ei
initial,chu1,ch
final,chu1,u
initial,qi2,q
final,qi2,i
initial,bu4,b
final,bu4,u
initial,yi4,y
final,yi4,i
initial,chu1,ch
final,chu1,u
initial,qi2,q
final,qi2,i
initial,bu4,b
final,bu4,u
initial,yu2,y
final,yu2,u
initial,chu1,ch
final,chu1,u
initial,qi2,q
final,qi2,i
initial,bu4,b
final,bu4,u
initial,qiong2,q
final,qiong2,iong
initial,chu1,ch
final,chu1,u
initial,qi2,q
final,qi2,i
initial,hua2,h
final,hua2,ua
initial,ce4,c
final,ce4,e
initial,chu1,ch
final,chu1,u
initial,qi2,q
final,qi2,i
initial,qu3,q
final,qu3,u
initial,sheng4,sh
final,sheng4,eng
initial,chu1,ch
final,chu1,u
initial,qi2,q
final,qi2,i
initial,wu2,w
final,wu2,u
initial,qiong2,q
final,qiong2,iong
initial,chu1,ch
final,chu1,u
initial,qi2,q
final,qi2,i
initial,zhi4,zh
final,zhi4,i
initial,sheng4,sh
final,sheng4,eng
initial,chu1,ch
final,chu1,u
initial,qi2,q
final,qi2,i
initial,zhi4,zh
final,zhi4,i
initial,sheng4,sh
final,sheng4,eng
initial,chu1,ch
final,chu1,u
initial,qian3,q
final,qian3,ian
initial,ru4,r
final,ru4,u
initial,shen1,sh
final,shen1,en
initial,chu1,ch
final,chu1,u
initial,qun2,q
final,qun2,un
initial,ba2,b
final,ba2,a
initial,cui4,c
final,cui4,ui
initial,chu1,ch
final,chu1,u
initial,ren2,r
final,ren2,en
initial,tou2,t
final,tou2,ou
initial,di4,d
final,di4,i
initial,chu1,ch
final,chu1,u
initial,ren2,r
final,ren2,en
initial,wang4,w
final,wang4,ang
initial,wai4,w
final,wai4,ai
initial,chu1,ch
final,chu1,u
initial,ren2,r
final,ren2,en
initial,yi4,y
final,yi4,i
initial,biao3,b
final,biao3,iao
initial,chu1,ch
final,chu1,u
initial,ren2,r
final,ren2,en
initial,yi4,y
final,yi4,i
initial,liao4,l
final,liao4,iao
initial,chu1,ch
final,chu1,u
initial,ren2,r
final,ren2,en
initial,yi4,y
final,yi4,i
initial,wai4,w
final,wai4,ai
initial,chu1,ch
final,chu1,u
initial,ru4,r
final,ru4,u
initial,jiang1,j
final,jiang1,iang
initial,xiang1,x
final,xiang1,iang
initial,chu1,ch
final,chu1,u
initial,ru4,r
final,ru4,u
initial,ren2,r
final,ren2,en
initial,zui4,z
final,zui4,ui
initial,chu1,ch
final,chu1,u
initial,ru4,r
final,ru4,u
initial,shen2,sh
final,shen2,en
initial,gui3,g
final,gui3,ui
initial,chu1,ch
final,chu1,u
initial,ru4,r
final,ru4,u
initial,sheng1,sh
final,sheng1,eng
initial,si3,s
final,si3,i
initial,chu1,ch
final,chu1,u
initial,ru4,r
final,ru4,u
initial,wu2,w
final,wu2,u
initial,jian1,j
final,jian1,ian
initial,chu1,ch
final,chu1,u
initial,shan1,sh
final,shan1,an
initial,quan2,q
final,quan2,uan
initial,shui3,sh
final,shui3,ui
initial,chu1,ch
final,chu1,u
initial,shen2,sh
final,shen2,en
initial,ru4,r
final,ru4,u
initial,ding4,d
final,ding4,ing
initial,chu1,ch
final,chu1,u
initial,shen2,sh
final,shen2,en
initial,ru4,r
final,ru4,u
initial,hua4,h
final,hua4,ua
initial,chu1,ch
final,chu1,u
initial,sheng1,sh
final,sheng1,eng
initial,ru4,r
final,ru4,u
initial,si3,s
final,si3,i
initial,chu1,ch
final,chu1,u
initial,sheng4,sh
final,sheng4,eng
initial,ru4,r
final,ru4,u
initial,shen2,sh
final,shen2,en
initial,chu1,ch
final,chu1,u
initial,shi1,sh
final,shi1,i
initial,bu4,b
final,bu4,u
initial,li4,l
final,li4,i
initial,chu1,ch
final,chu1,u
initial,shi1,sh
final,shi1,i
initial,wu2,w
final,wu2,u
initial,ming2,m
final,ming2,ing
initial,chu1,ch
final,chu1,u
initial,shi1,sh
final,shi1,i
initial,you3,y
final,you3,ou
initial,ming2,m
final,ming2,ing
initial,chu1,ch
final,chu1,u
initial,shi4,sh
final,shi4,i
initial,chao1,ch
final,chao1,ao
initial,fan2,f
final,fan2,an
initial,chu1,ch
final,chu1,u
initial,shi4,sh
final,shi4,i
initial,li2,l
final,li2,i
initial,qun2,q
final,qun2,un
initial,chu1,ch
final,chu1,u
initial,shou3,sh
final,shou3,ou
initial,de2,d
final,de2,e
initial,lu2,l
final,lu2,u
initial,chu1,ch
final,chu1,u
initial,shui3,sh
final,shui3,ui
initial,fu2,f
final,fu2,u
initial,rong2,r
final,rong2,ong
initial,chu1,ch
final,chu1,u
initial,si3,s
final,si3,i
initial,duan4,d
final,duan4,uan
initial,wang2,w
final,wang2,ang
initial,chu1,ch
final,chu1,u
initial,si3,s
final,si3,i
initial,ru4,r
final,ru4,u
initial,sheng1,sh
final,sheng1,eng
initial,chu1,ch
final,chu1,u
initial,tou2,t
final,tou2,ou
initial,lu4,l
final,lu4,u
initial,mian4,m
final,mian4,ian
initial,chu1,ch
final,chu1,u
initial,tou2,t
final,tou2,ou
initial,zhi1,zh
final,zhi1,i
initial,ri4,r
final,ri4,i
initial,chu1,ch
final,chu1,u
initial,wen2,w
final,wen2,en
initial,ru4,r
final,ru4,u
initial,wu3,w
final,wu3,u
initial,chu1,ch
final,chu1,u
initial,yan2,y
final,yan2,an
initial,bu4,b
final,bu4,u
initial,xun4,x
final,xun4,un
initial,chu1,ch
final,chu1,u
initial,yan2,y
final,yan2,an
initial,cheng2,ch
final,cheng2,eng
initial,zhang1,zh
final,zhang1,ang
initial,chu1,ch
final,chu1,u
initial,yan2,y
final,yan2,an
initial,tu3,t
final,tu3,u
initial,ci2,c
final,ci2,i
initial,chu1,ch
final,chu1,u
initial,yan2,y
final,yan2,an
initial,tu3,t
final,tu3,u
initial,qi4,q
final,qi4,i
initial,chu1,ch
final,chu1,u
initial,yan2,y
final,yan2,an
initial,tu3,t
final,tu3,u
initial,yu3,y
final,yu3,u
initial,chu1,ch
final,chu1,u
initial,yan2,y
final,yan2,an
initial,wu2,w
final,wu2,u
initial,zhuang4,zh
final,zhuang4,uang
initial,chu1,ch
final,chu1,u
initial,yan2,y
final,yan2,an
initial,you3,y
final,you3,ou
initial,zhang1,zh
final,zhang1,ang
initial,chu1,ch
final,chu1,u
initial,yi1,y
final,yi1,i
initial,tou2,t
final,tou2,ou
initial,di4,d
final,di4,i
initial,chu1,ch
final,chu1,u
initial,yi2,y
final,yi2,i
initial,ru4,r
final,ru4,u
initial,xian3,x
final,xian3,ian
initial,chu1,ch
final,chu1,u
initial,yi3,y
final,yi3,i
initial,gong1,g
final,gong1,ong
initial,xin1,x
final,xin1,in
initial,chu1,ch
final,chu1,u
initial,you1,y
final,you1,ou
initial,qian1,q
final,qian1,ian
initial,qiao2,q
final,qiao2,iao
initial,chu1,ch
final,chu1,u
initial,you1,y
final,you1,ou
initial,sheng1,sh
final,sheng1,eng
initial,gao1,g
final,gao1,ao
initial,chu1,ch
final,chu1,u
initial,you3,y
final,you3,ou
initial,ru4,r
final,ru4,u
initial,wu2,w
final,wu2,u
initial,chu1,ch
final,chu1,u
initial,yu2,y
final,yu2,u
initial,wu2,w
final,wu2,u
initial,nai4,n
final,nai4,ai
initial,chu1,ch
final,chu1,u
initial,yu2,y
final,yu2,u
initial,yi4,y
final,yi4,i
initial,biao3,b
final,biao3,iao
initial,chu1,ch
final,chu1,u
initial,yu2,y
final,yu2,u
initial,yi4,y
final,yi4,i
initial,wai4,w
final,wai4,ai
initial,chu1,ch
final,chu1,u
initial,yu2,y
final,yu2,u
initial,ru4,r
final,ru4,u
initial,nian3,n
final,nian3,ian
initial,chu1,ch
final,chu1,u
initial,yu3,y
final,yu3,u
initial,cheng2,ch
final,cheng2,eng
initial,zhang1,zh
final,zhang1,ang
initial,chu1,ch
final,chu1,u
initial,yun2,y
final,yun2,un
initial,ru4,r
final,ru4,u
initial,ni2,n
final,ni2,i
initial,chu1,ch
final,chu1,u
initial,zhen4,zh
final,zhen4,en
initial,ji4,j
final,ji4,i
initial,li2,l
final,li2,i
initial,chu1,ch
final,chu1,u
initial,zi4,z
final,zi4,i
initial,yi4,y
final,yi4,i
initial,wai4,w
final,wai4,ai
initial,chu1,ch
final,chu1,u
initial,chu1,ch
final,chu1,u
initial,mao2,m
final,mao2,ao
initial,lu2,l
final,lu2,u
initial,chu1,ch
final,chu1,u
initial,fa1,f
final,fa1,a
initial,fu2,f
final,fu2,u
initial,rong2,r
final,rong2,ong
initial,chu1,ch
final,chu1,u
initial,lu4,l
final,lu4,u
initial,feng1,f
final,feng1,eng
initial,mang2,m
final,mang2,ang
initial,chu1,ch
final,chu1,u
initial,lu4,l
final,lu4,u
initial,tou2,t
final,tou2,ou
initial,jiao3,j
final,jiao3,iao
initial,chu1,ch
final,chu1,u
initial,sheng1,sh
final,sheng1,eng
initial,zhi1,zh
final,zhi1,i
initial,du2,d
final,du2,u
initial,chu1,ch
final,chu1,u
initial,shi4,sh
final,shi4,i
initial,feng1,f
final,feng1,eng
initial,mang2,m
final,mang2,ang
initial,chu1,ch
final,chu1,u
initial,xie3,x
final,xie3,ie
initial,huang2,h
final,huang2,uang
initial,ting2,t
final,ting2,ing
initial,chu1,ch
final,chu1,u
initial,li4,l
final,li4,i
initial,yong1,y
final,yong1,ong
initial,cai2,c
final,cai2,ai
initial,chu2,ch
final,chu2,u
initial,rao2,r
final,rao2,ao
initial,zhi1,zh
final,zhi1,i
initial,jian4,j
final,jian4,ian
initial,chu2,ch
final,chu2,u
initial,rao2,r
final,rao2,ao
initial,zhi1,zh
final,zhi1,i
initial,yan2,y
final,yan2,an
initial,chu2,ch
final,chu2,u
initial,bao4,b
final,bao4,ao
final,an1,an
initial,liang2,l
final,liang2,iang
initial,chu2,ch
final,chu2,u
initial,can2,c
final,can2,an
initial,qu4,q
final,qu4,u
initial,hui4,h
final,hui4,ui
initial,chu2,ch
final,chu2,u
final,e4,e
initial,wu4,w
final,wu4,u
initial,ben3,b
final,ben3,en
initial,chu2,ch
final,chu2,u
final,e4,e
initial,wu4,w
final,wu4,u
initial,jin4,j
final,jin4,in
initial,chu2,ch
final,chu2,u
initial,hai4,h
final,hai4,ai
initial,xing1,x
final,xing1,ing
initial,li4,l
final,li4,i
initial,chu2,ch
final,chu2,u
initial,huan4,h
final,huan4,uan
initial,xing1,x
final,xing1,ing
initial,li4,l
final,li4,i
initial,chu2,ch
final,chu2,u
initial,hui4,h
final,hui4,ui
initial,bu4,b
final,bu4,u
initial,xin1,x
final,xin1,in
initial,chu2,ch
final,chu2,u
initial,ji2,j
final,ji2,i
initial,yi2,y
final,yi2,i
initial,lei4,l
final,lei4,ei
initial,chu2,ch
final,chu2,u
initial,jian1,j
final,jian1,ian
initial,ge2,g
final,ge2,e
initial,bi4,b
final,bi4,i
initial,chu2,ch
final,chu2,u
initial,jiu4,j
final,jiu4,iu
initial,bu4,b
final,bu4,u
initial,xin1,x
final,xin1,in
initial,chu2,ch
final,chu2,u
initial,jiu4,j
final,jiu4,iu
initial,geng1,g
final,geng1,eng
initial,xin1,x
final,xin1,in
initial,chu2,ch
final,chu2,u
initial,lang2,l
final,lang2,ang
initial,de2,d
final,de2,e
initial,hu3,h
final,hu3,u
initial,chu2,ch
final,chu2,u
initial,xie2,x
final,xie2,ie
initial,cheng2,ch
final,cheng2,eng
final,e4,e
initial,chu2,ch
final,chu2,u
initial,qiang2,q
final,qiang2,iang
initial,fu2,f
final,fu2,u
initial,ruo4,r
final,ruo4,uo
initial,chu2,ch
final,chu2,u
initial,feng4,f
final,feng4,eng
initial,qing1,q
final,qing1,ing
initial,sheng1,sh
final,sheng1,eng
initial,chu2,ch
final,chu2,u
initial,ying1,y
final,ying1,ing
initial,zhan3,zh
final,zhan3,an
initial,chi4,ch
final,chi4,i
initial,chu3,ch
final,chu3,u
initial,jiu4,j
final,jiu4,iu
initial,zhi1,zh
final,zhi1,i
initial,jiao1,j
final,jiao1,iao
initial,chu3,ch
final,chu3,u
initial,qi4,q
final,qi4,i
final,er2,er
initial,yu3,y
final,yu3,u
initial,chu3,ch
final,chu3,u
initial,run4,r
final,run4,un
final,er2,er
initial,yu3,y
final,yu3,u
initial,chu3,ch
final,chu3,u
initial,bi4,b
final,bi4,i
initial,sui2,s
final,sui2,ui
initial,zhen1,zh
final,zhen1,en
initial,chu3,ch
final,chu3,u
initial,cai2,c
final,cai2,ai
initial,jin4,j
final,jin4,in
initial,yong4,y
final,yong4,ong
initial,chu3,ch
final,chu3,u
initial,cai2,c
final,cai2,ai
initial,jin4,j
final,jin4,in
initial,yong4,y
final,yong4,ong
initial,chu3,ch
final,chu3,u
initial,chu3,ch
final,chu3,u
initial,bu4,b
final,bu4,u
initial,fan2,f
final,fan2,an
initial,chu3,ch
final,chu3,u
initial,chu3,ch
final,chu3,u
initial,dong4,d
final,dong4,ong
initial,ren2,r
final,ren2,en
initial,chu3,ch
final,chu3,u
initial,chu3,ch
final,chu3,u
initial,ke3,k
final,ke3,e
final,ai4,ai
initial,chu3,ch
final,chu3,u
initial,chu3,ch
final,chu3,u
initial,ke3,k
final,ke3,e
initial,lian2,l
final,lian2,ian
initial,chu3,ch
final,chu3,u
initial,chu3,ch
final,chu3,u
initial,ke3,k
final,ke3,e
initial,ren2,r
final,ren2,en
initial,chu3,ch
final,chu3,u
initial,chu3,ch
final,chu3,u
initial,su4,s
final,su4,u
initial,su4,s
final,su4,u
initial,chu3,ch
final,chu3,u
initial,chu3,ch
final,chu3,u
initial,you3,y
final,you3,ou
initial,zhi4,zh
final,zhi4,i
initial,chu3,ch
final,chu3,u
initial,chu3,ch
final,chu3,u
initial,zuo4,z
final,zuo4,uo
initial,tai4,t
final,tai4,ai
initial,chu3,ch
final,chu3,u
initial,de2,d
final,de2,e
initial,chu3,ch
final,chu3,u
initial,gong1,g
final,gong1,ong
initial,chu3,ch
final,chu3,u
initial,ge1,g
final,ge1,e
initial,si4,s
final,si4,i
initial,he2,h
final,he2,e
initial,chu3,ch
final,chu3,u
initial,ge1,g
final,ge1,e
initial,si4,s
final,si4,i
initial,mian4,m
final,mian4,ian
initial,chu3,ch
final,chu3,u
initial,ge1,g
final,ge1,e
initial,si4,s
final,si4,i
initial,qi3,q
final,qi3,i
initial,chu3,ch
final,chu3,u
initial,ge1,g
final,ge1,e
initial,zhi1,zh
final,zhi1,i
initial,ji4,j
final,ji4,i
initial,chu3,ch
final,chu3,u
initial,gong1,g
final,gong1,ong
initial,chu3,ch
final,chu3,u
initial,de2,d
final,de2,e
initial,chu3,ch
final,chu3,u
initial,gong1,g
final,gong1,ong
initial,fu4,f
final,fu4,u
initial,de2,d
final,de2,e
initial,chu3,ch
final,chu3,u
initial,gong1,g
final,gong1,ong
initial,yi2,y
final,yi2,i
initial,ying3,y
final,ying3,ing
initial,chu3,ch
final,chu3,u
initial,guan1,g
final,guan1,uan
initial,qin2,q
final,qin2,in
initial,lou2,l
final,lou2,ou
initial,chu3,ch
final,chu3,u
initial,guan3,g
final,guan3,uan
initial,qin2,q
final,qin2,in
initial,lou2,l
final,lou2,ou
initial,chu3,ch
final,chu3,u
initial,guan3,g
final,guan3,uan
initial,man2,m
final,man2,an
initial,xian2,x
final,xian2,ian
initial,chu3,ch
final,chu3,u
initial,jie4,j
final,jie4,ie
initial,han4,h
final,han4,an
initial,he2,h
final,he2,e
initial,chu3,ch
final,chu3,u
initial,meng4,m
final,meng4,eng
initial,yun2,y
final,yun2,un
initial,yu3,y
final,yu3,u
initial,chu3,ch
final,chu3,u
initial,nang2,n
final,nang2,ang
initial,zhi1,zh
final,zhi1,i
initial,qing2,q
final,qing2,ing
initial,chu3,ch
final,chu3,u
initial,qiu2,q
final,qiu2,iu
initial,dui4,d
final,dui4,ui
initial,qi4,q
final,qi4,i
initial,chu3,ch
final,chu3,u
initial,qiu2,q
final,qiu2,iu
initial,xiang1,x
final,xiang1,iang
initial,dui4,d
final,dui4,ui
initial,chu3,ch
final,chu3,u
initial,shui3,sh
final,shui3,ui
initial,wu2,w
final,wu2,u
initial,shan1,sh
final,shan1,an
initial,chu3,ch
final,chu3,u
initial,tian1,t
final,tian1,ian
initial,yun2,y
final,yun2,un
initial,yu3,y
final,yu3,u
initial,chu3,ch
final,chu3,u
initial,wei3,w
final,wei3,ei
initial,wu2,w
final,wu2,u
initial,tou2,t
final,tou2,ou
initial,chu3,ch
final,chu3,u
initial,wu3,w
final,wu3,u
initial,wu2,w
final,wu2,u
initial,ge1,g
final,ge1,e
initial,chu3,ch
final,chu3,u
initial,yao1,y
final,yao1,ao
initial,qi2,q
final,qi2,i
initial,ling3,l
final,ling3,ing
initial,chu3,ch
final,chu3,u
initial,yao1,y
final,yao1,ao
initial,wei4,w
final,wei4,ei
initial,bin4,b
final,bin4,in
initial,chu3,ch
final,chu3,u
initial,yao1,y
final,yao1,ao
initial,xian1,x
final,xian1,ian
initial,xi4,x
final,xi4,i
initial,chu3,ch
final,chu3,u
initial,yu3,y
final,yu3,u
initial,wu1,w
final,wu1,u
initial,yun2,y
final,yun2,un
initial,chu3,ch
final,chu3,u
initial,yue4,y
final,yue4,ue
initial,zhi1,zh
final,zhi1,i
initial,ji2,j
final,ji2,i
initial,chu3,ch
final,chu3,u
initial,yun2,y
final,yun2,un
initial,xiang1,x
final,xiang1,iang
initial,yu3,y
final,yu3,u
initial,zhu3,zh
final,zhu3,u
initial,xiao3,x
final,xiao3,iao
initial,bei1,b
final,bei1,ei
initial,da4,d
final,da4,a
initial,zhu3,zh
final,zhu3,u
initial,xiao3,x
final,xiao3,iao
initial,huai2,h
final,huai2,uai
initial,da4,d
final,da4,a
initial,chu3,ch
final,chu3,u
initial,gao1,g
final,gao1,ao
initial,lin2,l
final,lin2,in
initial,shen1,sh
final,shen1,en
initial,chu3,ch
final,chu3,u
initial,shi2,sh
final,shi2,i
initial,xiao4,x
final,xiao4,iao
initial,gong1,g
final,gong1,ong
initial,chu3,ch
final,chu3,u
initial,tang2,t
final,tang2,ang
initial,yan4,y
final,yan4,an
initial,que4,q
final,que4,ue
initial,chu3,ch
final,chu3,u
initial,tang2,t
final,tang2,ang
initial,yan4,y
final,yan4,an
initial,que4,q
final,que4,ue
initial,chu3,ch
final,chu3,u
initial,xin1,x
final,xin1,in
initial,ji1,j
final,ji1,i
initial,lv4,l
final,lv4,v
initial,chu3,ch
final,chu3,u
initial,zhi1,zh
final,zhi1,i
initial,tai4,t
final,tai4,ai
initial,ran2,r
final,ran2,an
initial,chu3,ch
final,chu3,u
initial,zun1,z
final,zun1,un
initial,ju1,j
final,ju1,u
initial,xian3,x
final,xian3,ian
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,jing1,j
final,jing1,ing
initial,xin1,x
final,xin1,in
initial,xi4,x
final,xi4,i
initial,shen1,sh
final,shen1,en
initial,dan1,d
final,dan1,an
initial,gui4,g
final,gui4,ui
initial,xi4,x
final,xi4,i
initial,shen1,sh
final,shen1,en
initial,gao1,g
final,gao1,ao
initial,di4,d
final,di4,i
initial,chu4,ch
final,chu4,u
initial,chu3,ch
final,chu3,u
initial,ji1,j
final,ji1,i
initial,lai2,l
final,lai2,ai
initial,chu4,ch
final,chu4,u
initial,di4,d
final,di4,i
initial,hao4,h
final,hao4,ao
initial,tian1,t
final,tian1,ian
initial,chu4,ch
final,chu4,u
initial,dou4,d
final,dou4,ou
initial,man2,m
final,man2,an
initial,zheng1,zh
final,zheng1,eng
initial,chu4,ch
final,chu4,u
initial,ji1,j
final,ji1,i
initial,bian4,b
final,bian4,ian
initial,fa1,f
final,fa1,a
initial,chu4,ch
final,chu4,u
initial,jing3,j
final,jing3,ing
initial,shang1,sh
final,shang1,ang
initial,huai2,h
final,huai2,uai
initial,chu4,ch
final,chu4,u
initial,jing3,j
final,jing3,ing
initial,shang1,sh
final,shang1,ang
initial,qing2,q
final,qing2,ing
initial,chu4,ch
final,chu4,u
initial,jing3,j
final,jing3,ing
initial,shang1,sh
final,shang1,ang
initial,xin1,x
final,xin1,in
initial,chu4,ch
final,chu4,u
initial,jing3,j
final,jing3,ing
initial,sheng1,sh
final,sheng1,eng
initial,qing2,q
final,qing2,ing
initial,chu4,ch
final,chu4,u
initial,lei4,l
final,lei4,ei
final,er2,er
initial,chang2,ch
final,chang2,ang
initial,chu4,ch
final,chu4,u
initial,lei4,l
final,lei4,ei
final,er2,er
initial,tong1,t
final,tong1,ong
initial,chu4,ch
final,chu4,u
initial,lei4,l
final,lei4,ei
initial,pang2,p
final,pang2,ang
initial,tong1,t
final,tong1,ong
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,beng1,b
final,beng1,eng
initial,xin1,x
final,xin1,in
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,cheng2,ch
final,cheng2,eng
initial,song4,s
final,song4,ong
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,jie1,j
final,jie1,ie
initial,shi4,sh
final,shi4,i
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,jing1,j
final,jing1,ing
initial,xin1,x
final,xin1,in
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,jing1,j
final,jing1,ing
initial,xin1,x
final,xin1,in
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,jing3,j
final,jing3,ing
initial,xin1,x
final,xin1,in
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,jing3,j
final,jing3,ing
initial,xin1,x
final,xin1,in
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,ru2,r
final,ru2,u
initial,gu4,g
final,gu4,u
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,shang1,sh
final,shang1,ang
initial,huai2,h
final,huai2,uai
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,shang1,sh
final,shang1,ang
initial,xin1,x
final,xin1,in
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,tong4,t
final,tong4,ong
initial,xin1,x
final,xin1,in
initial,chu4,ch
final,chu4,u
initial,mu4,m
final,mu4,u
initial,xing1,x
