:SRC_VID(string),:DST_VID(string),with_pinyin.position:int
怀才不遇,huai2,0
怀才不遇,cai2,1
怀才不遇,bu4,2
怀才不遇,yu4,3
怀材抱器,huai2,0
怀材抱器,cai2,1
怀材抱器,bao4,2
怀材抱器,qi4,3
怀道迷邦,huai2,0
怀道迷邦,dao4,1
怀道迷邦,mi2,2
怀道迷邦,bang1,3
怀敌附远,huai2,0
怀敌附远,di2,1
怀敌附远,fu4,2
怀敌附远,yuan3,3
怀觚握椠,huai2,0
怀觚握椠,gu1,1
怀觚握椠,wo4,2
怀觚握椠,qian4,3
怀恨在心,huai2,0
怀恨在心,hen4,1
怀恨在心,zai4,2
怀恨在心,xin1,3
怀黄佩紫,huai2,0
怀黄佩紫,huang2,1
怀黄佩紫,pei4,2
怀黄佩紫,zi3,3
怀黄握白,huai2,0
怀黄握白,huang2,1
怀黄握白,wo4,2
怀黄握白,bai2,3
怀金垂紫,huai2,0
怀金垂紫,jin1,1
怀金垂紫,chui2,2
怀金垂紫,zi3,3
怀金拖紫,huai2,0
怀金拖紫,jin1,1
怀金拖紫,tuo1,2
怀金拖紫,zi3,3
怀瑾握瑜,huai2,0
怀瑾握瑜,jin3,1
怀瑾握瑜,wo4,2
怀瑾握瑜,yu2,3
怀铅提椠,huai2,0
怀铅提椠,qian1,1
怀铅提椠,ti2,2
怀铅提椠,qian4,3
怀铅握椠,huai2,0
怀铅握椠,qian1,1
怀铅握椠,wo4,2
怀铅握椠,qian4,3
怀柔天下,huai,0
怀柔天下,rou,1
怀柔天下,tian,2
怀柔天下,xia,3
怀山襄陵,huai2,0
怀山襄陵,shan1,1
怀山襄陵,xiang1,2
怀山襄陵,ling2,3
怀土之情,huai2,0
怀土之情,tu3,1
怀土之情,zhi1,2
怀土之情,qing2,3
怀银纡紫,huai2,0
怀银纡紫,yin2,1
怀银纡紫,yu1,2
怀银纡紫,zi3,3
怀冤抱屈,huai2,0
怀冤抱屈,yuan1,1
怀冤抱屈,bao4,2
怀冤抱屈,qu1,3
怀真抱素,huai2,0
怀真抱素,zhen1,1
怀真抱素,bao4,2
怀真抱素,su4,3
怀质抱真,huai2,0
怀质抱真,zhi4,1
怀质抱真,bao4,2
怀质抱真,zhen1,3
怀珠抱玉,huai2,0
怀珠抱玉,zhu1,1
怀珠抱玉,bao4,2
怀珠抱玉,yu4,3
怀珠韫玉,huai2,0
怀珠韫玉,zhu1,1
怀珠韫玉,yun4,2
怀珠韫玉,yu4,3
怀着鬼胎,huai2,0
怀着鬼胎,zhe,1
怀着鬼胎,gui3,2
怀着鬼胎,tai1,3
徊肠伤气,hui2,0
徊肠伤气,chang2,1
徊肠伤气,shang1,2
徊肠伤气,qi4,3
淮橘为枳,huai2,0
淮橘为枳,ju2,1
淮橘为枳,wei2,2
淮橘为枳,zhi3,3
淮南鸡犬,huai2,0
淮南鸡犬,nan2,1
淮南鸡犬,ji1,2
淮南鸡犬,quan3,3
淮王鸡狗,huai2,0
淮王鸡狗,wang2,1
淮王鸡狗,ji1,2
淮王鸡狗,gou3,3
槐南一梦,huai2,0
槐南一梦,nan2,1
槐南一梦,yi1,2
槐南一梦,meng1,3
坏法乱纪,huai4,0
坏法乱纪,fa3,1
坏法乱纪,luan4,2
坏法乱纪,ji4,3
坏人心术,huai4,0
坏人心术,ren2,1
坏人心术,xin1,2
坏人心术,shu4,3
坏裳为裤,huai4,0
坏裳为裤,shang,1
坏裳为裤,wei2,2
坏裳为裤,ku4,3
坏植散群,huai4,0
坏植散群,zhi2,1
坏植散群,san4,2
坏植散群,qun2,3
欢迸乱跳,huan1,0
欢迸乱跳,beng4,1
欢迸乱跳,luan4,2
欢迸乱跳,tiao4,3
欢蹦乱跳,huan1,0
欢蹦乱跳,beng4,1
欢蹦乱跳,luan4,2
欢蹦乱跳,tiao4,3
欢忭鼓舞,huan1,0
欢忭鼓舞,bian4,1
欢忭鼓舞,gu3,2
欢忭鼓舞,wu3,3
欢呼鼓舞,huan1,0
欢呼鼓舞,hu1,1
欢呼鼓舞,gu3,2
欢呼鼓舞,wu3,3
欢呼雀跃,huan1,0
欢呼雀跃,hu1,1
欢呼雀跃,que4,2
欢呼雀跃,yue4,3
欢聚一堂,huan1,0
欢聚一堂,ju4,1
欢聚一堂,yi1,2
欢聚一堂,tang2,3
欢若平生,huan1,0
欢若平生,ruo4,1
欢若平生,ping2,2
欢若平生,sheng1,3
欢声雷动,huan1,0
欢声雷动,sheng1,1
欢声雷动,lei2,2
欢声雷动,dong4,3
欢天喜地,huan1,0
欢天喜地,tian1,1
欢天喜地,xi3,2
欢天喜地,di4,3
欢喜若狂,huan1,0
欢喜若狂,xi3,1
欢喜若狂,ruo4,2
欢喜若狂,kuang2,3
欢喜冤家,huan1,0
欢喜冤家,xi3,1
欢喜冤家,yuan1,2
欢喜冤家,jia1,3
欢忻鼓舞,huan1,0
欢忻鼓舞,xin1,1
欢忻鼓舞,gu3,2
欢忻鼓舞,wu3,3
欢欣鼓舞,huan1,0
欢欣鼓舞,xin1,1
欢欣鼓舞,gu3,2
欢欣鼓舞,wu3,3
欢欣若狂,huan1,0
欢欣若狂,xin1,1
欢欣若狂,ruo4,2
欢欣若狂,kuang2,3
还淳反古,huan2,0
还淳反古,chun2,1
还淳反古,fan3,2
还淳反古,gu3,3
还淳反朴,huan2,0
还淳反朴,chun2,1
还淳反朴,fan3,2
还淳反朴,pu3,3
还淳反素,huan2,0
还淳反素,chun2,1
还淳反素,fan3,2
还淳反素,su4,3
还淳返朴,huan2,0
还淳返朴,chun2,1
还淳返朴,fan3,2
还淳返朴,pu3,3
还醇返朴,huan2,0
还醇返朴,chun2,1
还醇返朴,fan3,2
还醇返朴,pu3,3
还年却老,huan2,0
还年却老,nian2,1
还年却老,que4,2
还年却老,lao3,3
还年卻老,huan2,0
还年卻老,nian2,1
还年卻老,que4,2
还年卻老,lao3,3
还年驻色,huan2,0
还年驻色,nian2,1
还年驻色,zhu4,2
还年驻色,se4,3
还朴反古,huan2,0
还朴反古,pu3,1
还朴反古,fan3,2
还朴反古,gu3,3
还我河山,huan2,0
还我河山,wo3,1
还我河山,he2,2
还我河山,shan1,3
还乡昼锦,huan2,0
还乡昼锦,xiang1,1
还乡昼锦,zhou4,2
还乡昼锦,jin3,3
还元返本,huan2,0
还元返本,yuan2,1
还元返本,fan3,2
还元返本,ben3,3
还原反本,huan2,0
还原反本,yuan2,1
还原反本,fan3,2
还原反本,ben3,3
还珠返璧,huan2,0
还珠返璧,zhu1,1
还珠返璧,fan3,2
还珠返璧,bi4,3
还珠合浦,huan2,0
还珠合浦,zhu1,1
还珠合浦,he2,2
还珠合浦,pu3,3
还珠买椟,huan2,0
还珠买椟,zhu1,1
还珠买椟,mai3,2
还珠买椟,du2,3
环堵萧然,huan2,0
环堵萧然,du3,1
环堵萧然,xiao1,2
环堵萧然,ran2,3
环肥燕瘦,huan2,0
环肥燕瘦,fei2,1
环肥燕瘦,yan4,2
环肥燕瘦,shou4,3
缓兵之计,huan3,0
缓兵之计,bing1,1
缓兵之计,zhi1,2
缓兵之计,ji4,3
缓不济急,huan3,0
缓不济急,bu4,1
缓不济急,ji4,2
缓不济急,ji2,3
缓步代车,huan3,0
缓步代车,bu4,1
缓步代车,dai4,2
缓步代车,che1,3
缓急轻重,huan3,0
缓急轻重,ji2,1
缓急轻重,qing1,2
缓急轻重,zhong4,3
缓急相济,huan3,0
缓急相济,ji2,1
缓急相济,xiang1,2
缓急相济,ji4,3
宦海风波,huan4,0
宦海风波,hai3,1
宦海风波,feng1,2
宦海风波,bo1,3
宦海浮沉,huan4,0
宦海浮沉,hai3,1
宦海浮沉,fu2,2
宦海浮沉,chen2,3
换斗移星,huan4,0
换斗移星,dou3,1
换斗移星,yi2,2
换斗移星,xing1,3
换骨夺胎,huan4,0
换骨夺胎,gu3,1
换骨夺胎,duo2,2
换骨夺胎,tai1,3
换骨脱胎,huan4,0
换骨脱胎,gu3,1
换骨脱胎,tuo1,2
换骨脱胎,tai1,3
换日偷天,huan4,0
换日偷天,ri4,1
换日偷天,tou1,2
换日偷天,tian1,3
换羽移宫,huan4,0
换羽移宫,yu3,1
换羽移宫,yi2,2
换羽移宫,gong1,3
涣尔冰开,huan4,0
涣尔冰开,er3,1
涣尔冰开,bing1,2
涣尔冰开,kai1,3
涣发大号,huan4,0
涣发大号,fa1,1
涣发大号,da4,2
涣发大号,hao4,3
涣汗大号,huan4,0
涣汗大号,han4,1
涣汗大号,da4,2
涣汗大号,hao4,3
涣然冰释,huan4,0
涣然冰释,ran2,1
涣然冰释,bing1,2
涣然冰释,shi4,3
涣如冰释,huan4,0
涣如冰释,ru2,1
涣如冰释,bing1,2
涣如冰释,shi4,3
涣若冰释,huan4,0
涣若冰释,ruo4,1
涣若冰释,bing1,2
涣若冰释,shi4,3
涣若冰消,huan4,0
涣若冰消,ruo4,1
涣若冰消,bing1,2
涣若冰消,xiao1,3
患得患失,huan4,0
患得患失,de2,1
患得患失,huan4,2
患得患失,shi1,3
患难夫妻,huan4,0
患难夫妻,nan4,1
患难夫妻,fu1,2
患难夫妻,qi1,3
患难与共,huan4,0
患难与共,nan4,1
患难与共,yu3,2
患难与共,gong4,3
患难之交,huan4,0
患难之交,nan4,1
患难之交,zhi1,2
患难之交,jiao1,3
患至呼天,huan4,0
患至呼天,zhi4,1
患至呼天,hu1,2
患至呼天,tian1,3
焕然如新,huan4,0
焕然如新,ran2,1
焕然如新,ru2,2
焕然如新,xin1,3
焕然一新,huan4,0
焕然一新,ran2,1
焕然一新,yi1,2
焕然一新,xin1,3
擐甲挥戈,huan4,0
擐甲挥戈,jia3,1
擐甲挥戈,hui1,2
擐甲挥戈,ge1,3
擐甲执兵,huan4,0
擐甲执兵,jia3,1
擐甲执兵,zhi2,2
擐甲执兵,bing1,3
荒诞不经,huang1,0
荒诞不经,dan4,1
荒诞不经,bu4,2
荒诞不经,jing1,3
荒诞无稽,huang1,0
荒诞无稽,dan4,1
荒诞无稽,wu2,2
荒诞无稽,ji1,3
荒谬绝伦,huang1,0
荒谬绝伦,miu4,1
荒谬绝伦,jue2,2
荒谬绝伦,lun2,3
荒时暴月,huang1,0
荒时暴月,shi2,1
荒时暴月,bao4,2
荒时暴月,yue4,3
荒唐无稽,huang1,0
荒唐无稽,tang2,1
荒唐无稽,wu2,2
荒唐无稽,ji1,3
荒无人烟,huang1,0
荒无人烟,wu2,1
荒无人烟,ren2,2
荒无人烟,yan1,3
荒淫无耻,huang1,0
荒淫无耻,yin2,1
荒淫无耻,wu2,2
荒淫无耻,chi3,3
荒淫无道,huang1,0
荒淫无道,yin2,1
荒淫无道,wu2,2
荒淫无道,dao4,3
荒淫无度,huang1,0
荒淫无度,yin2,1
荒淫无度,wu2,2
荒淫无度,du4,3
慌不择路,huang1,0
慌不择路,bu4,1
慌不择路,ze2,2
慌不择路,lu4,3
慌慌张张,huang1,0
慌慌张张,huang1,1
慌慌张张,zhang1,2
慌慌张张,zhang1,3
慌手慌脚,huang1,0
慌手慌脚,shou3,1
慌手慌脚,huang1,2
慌手慌脚,jiao3,3
慌手忙脚,huang1,0
慌手忙脚,shou3,1
慌手忙脚,mang2,2
慌手忙脚,jiao3,3
慌作一团,huang1,0
慌作一团,zuo4,1
慌作一团,yi1,2
慌作一团,tuan2,3
慌做一团,huang1,0
慌做一团,zuo4,1
慌做一团,yi1,2
慌做一团,tuan2,3
皇亲国戚,huang2,0
皇亲国戚,qin1,1
皇亲国戚,guo2,2
皇亲国戚,qi1,3
皇天后土,huang2,0
皇天后土,tian1,1
皇天后土,hou4,2
皇天后土,tu3,3
黄尘清水,huang2,0
黄尘清水,chen2,1
黄尘清水,qing1,2
黄尘清水,shui3,3
黄道吉日,huang2,0
黄道吉日,dao4,1
黄道吉日,ji2,2
黄道吉日,ri4,3
黄耳传书,huang2,0
黄耳传书,er3,1
黄耳传书,chuan2,2
黄耳传书,shu1,3
黄发垂髫,huang2,0
黄发垂髫,fa4,1
黄发垂髫,chui2,2
黄发垂髫,tiao2,3
黄发儿齿,huang2,0
黄发儿齿,fa4,1
黄发儿齿,er2,2
黄发儿齿,chi3,3
黄发骀背,huang2,0
黄发骀背,fa1,1
黄发骀背,dai4,2
黄发骀背,bei4,3
黄发台背,huang2,0
黄发台背,fa1,1
黄发台背,tai2,2
黄发台背,bei4,3
黄发鲐背,huang2,0
黄发鲐背,fa1,1
黄发鲐背,tai2,2
黄发鲐背,bei4,3
黄风雾罩,huang2,0
黄风雾罩,feng1,1
黄风雾罩,wu4,2
黄风雾罩,zhao4,3
黄干黑廲,huang2,0
黄干黑廲,gan1,1
黄干黑廲,hei1,2
黄干黑廲,sou1,3
黄公酒垆,huang2,0
黄公酒垆,gong1,1
黄公酒垆,jiu3,2
黄公酒垆,lu2,3
黄冠草服,huang2,0
黄冠草服,guan4,1
黄冠草服,cao3,2
黄冠草服,fu2,3
黄冠草履,huang2,0
黄冠草履,guan4,1
黄冠草履,cao3,2
黄冠草履,lv3,3
黄冠野服,huang2,0
黄冠野服,guan4,1
黄冠野服,ye3,2
黄冠野服,fu2,3
黄河水清,huang2,0
黄河水清,he2,1
黄河水清,shui3,2
黄河水清,qing1,3
黄花晚节,huang2,0
黄花晚节,hua1,1
黄花晚节,wan3,2
黄花晚节,jie2,3
黄齑白饭,huang2,0
黄齑白饭,ji1,1
黄齑白饭,bai2,2
黄齑白饭,fan4,3
黄齑淡饭,huang2,0
黄齑淡饭,ji1,1
黄齑淡饭,dan4,2
黄齑淡饭,fan4,3
黄金时代,huang2,0
黄金时代,jin1,1
黄金时代,shi2,2
黄金时代,dai4,3
黄金时间,huang2,0
黄金时间,jin1,1
黄金时间,shi2,2
黄金时间,jian1,3
黄金世界,huang2,0
黄金世界,jin1,1
黄金世界,shi4,2
黄金世界,jie4,3
黄金铸象,huang2,0
黄金铸象,jin1,1
黄金铸象,zhu4,2
黄金铸象,xiang4,3
黄卷青灯,huang2,0
黄卷青灯,juan4,1
黄卷青灯,qing1,2
黄卷青灯,deng1,3
黄卷幼妇,huang2,0
黄卷幼妇,juan4,1
黄卷幼妇,you4,2
黄卷幼妇,fu4,3
黄绢幼妇,huang2,0
黄绢幼妇,juan4,1
黄绢幼妇,you4,2
黄绢幼妇,fu4,3
黄口孺子,huang2,0
黄口孺子,kou3,1
黄口孺子,ru2,2
黄口孺子,zi3,3
黄口小儿,huang2,0
黄口小儿,kou3,1
黄口小儿,xiao3,2
黄口小儿,er2,3
黄梁美梦,huang2,0
黄梁美梦,liang2,1
黄梁美梦,mei3,2
黄梁美梦,meng4,3
黄梁一梦,huang2,0
黄梁一梦,liang2,1
黄梁一梦,yi1,2
黄梁一梦,meng4,3
黄粱美梦,huang2,0
黄粱美梦,liang2,1
黄粱美梦,mei3,2
黄粱美梦,meng4,3
黄粱一梦,huang2,0
黄粱一梦,liang2,1
黄粱一梦,yi1,2
黄粱一梦,meng4,3
黄龙痛饮,huang2,0
黄龙痛饮,long2,1
黄龙痛饮,tong4,2
黄龙痛饮,yin3,3
黄垆之痛,huang2,0
黄垆之痛,lu2,1
黄垆之痛,zhi1,2
黄垆之痛,tong4,3
黄麻紫泥,huang2,0
黄麻紫泥,ma2,1
黄麻紫泥,zi3,2
黄麻紫泥,ni2,3
黄麻紫书,huang2,0
黄麻紫书,ma2,1
黄麻紫书,zi3,2
黄麻紫书,shu1,3
黄茅白苇,huang2,0
黄茅白苇,mao2,1
黄茅白苇,bai2,2
黄茅白苇,wei3,3
黄绵袄子,huang2,0
黄绵袄子,mian2,1
黄绵袄子,ao3,2
黄绵袄子,zi3,3
黄袍加身,huang2,0
黄袍加身,pao2,1
黄袍加身,jia1,2
黄袍加身,shen1,3
黄袍加体,huang2,0
黄袍加体,pao2,1
黄袍加体,jia1,2
黄袍加体,ti3,3
黄皮刮廲,huang2,0
黄皮刮廲,pi2,1
黄皮刮廲,gua1,2
黄皮刮廲,sou1,3
黄皮寡廲,huang2,0
黄皮寡廲,pi2,1
黄皮寡廲,gua3,2
黄皮寡廲,sou1,3
黄旗紫盖,huang2,0
黄旗紫盖,qi2,1
黄旗紫盖,zi3,2
黄旗紫盖,gai4,3
黄泉之下,huang2,0
黄泉之下,quan2,1
黄泉之下,zhi1,2
黄泉之下,xia4,3
黄雀伺蝉,huang2,0
黄雀伺蝉,que4,1
黄雀伺蝉,si4,2
黄雀伺蝉,chan2,3
黄雀衔环,huang2,0
黄雀衔环,que4,1
黄雀衔环,xian2,2
黄雀衔环,huan2,3
黄雀在后,huang2,0
黄雀在后,que4,1
黄雀在后,zai4,2
黄雀在后,hou4,3
黄人捧日,huang2,0
黄人捧日,ren2,1
黄人捧日,peng3,2
黄人捧日,ri4,3
黄人守日,huang2,0
黄人守日,ren2,1
黄人守日,shou3,2
黄人守日,ri4,3
黄台之瓜,huang2,0
黄台之瓜,tai2,1
黄台之瓜,zhi1,2
黄台之瓜,gua1,3
黄汤淡水,huang2,0
黄汤淡水,tang1,1
黄汤淡水,dan4,2
黄汤淡水,shui3,3
黄汤辣水,huang2,0
黄汤辣水,tang1,1
黄汤辣水,la4,2
黄汤辣水,shui3,3
黄天焦日,huang2,0
黄天焦日,tian1,1
黄天焦日,jiao1,2
黄天焦日,ri4,3
黄童白颠,huang2,0
黄童白颠,tong2,1
黄童白颠,bai2,2
黄童白颠,dian1,3
黄童白叟,huang2,0
黄童白叟,tong2,1
黄童白叟,bai2,2
黄童白叟,sou3,3
黄童皓首,huang2,0
黄童皓首,tong2,1
黄童皓首,hao4,2
黄童皓首,shou3,3
黄杨厄闰,huang2,0
黄杨厄闰,yang2,1
黄杨厄闰,e4,2
黄杨厄闰,run4,3
黄钟长弃,huang2,0
黄钟长弃,zhong1,1
黄钟长弃,chang2,2
黄钟长弃,qi4,3
黄钟大吕,huang2,0
黄钟大吕,zhong1,1
黄钟大吕,da4,2
黄钟大吕,lv3,3
黄钟毁弃,huang2,0
黄钟毁弃,zhong1,1
黄钟毁弃,hui3,2
黄钟毁弃,qi4,3
黄钟瓦釜,huang2,0
黄钟瓦釜,zhong1,1
黄钟瓦釜,wa3,2
黄钟瓦釜,fu3,3
黄锺毁弃,huang2,0
黄锺毁弃,zhong1,1
黄锺毁弃,hui3,2
黄锺毁弃,qi4,3
黄锺瓦缶,huang2,0
黄锺瓦缶,zhong1,1
黄锺瓦缶,wa3,2
黄锺瓦缶,fou3,3
惶惶不安,huang2,0
惶惶不安,huang2,1
惶惶不安,bu4,2
惶惶不安,an1,3
惶恐不安,huang2,0
惶恐不安,kong3,1
惶恐不安,bu4,2
惶恐不安,an1,3
潢池盗弄,huang2,0
潢池盗弄,shi,1
潢池盗弄,dao4,2
潢池盗弄,nong4,3
潢池弄兵,huang2,0
潢池弄兵,chi2,1
潢池弄兵,nong4,2
潢池弄兵,bing1,3
恍恍荡荡,huang3,0
恍恍荡荡,huang3,1
恍恍荡荡,dang4,2
恍恍荡荡,dang4,3
恍然大悟,huang3,0
恍然大悟,ran2,1
恍然大悟,da4,2
恍然大悟,wu4,3
恍然若失,huang3,0
恍然若失,ran2,1
恍然若失,ruo4,2
恍然若失,shi1,3
恍如隔世,huang3,0
恍如隔世,ru2,1
恍如隔世,ge2,2
恍如隔世,shi4,3
恍如梦境,huang3,0
恍如梦境,ru2,1
恍如梦境,meng4,2
恍如梦境,jing4,3
恍如梦寐,huang3,0
恍如梦寐,ru2,1
恍如梦寐,meng4,2
恍如梦寐,mei4,3
灰飞烟灭,hui1,0
灰飞烟灭,fei1,1
灰飞烟灭,yan1,2
灰飞烟灭,mie4,3
灰躯糜骨,hui1,0
灰躯糜骨,qu1,1
灰躯糜骨,mi2,2
灰躯糜骨,gu3,3
灰容土貌,hui1,0
灰容土貌,rong2,1
灰容土貌,tu3,2
灰容土貌,mao4,3
灰身粉骨,hui1,0
灰身粉骨,shen1,1
灰身粉骨,fen3,2
灰身粉骨,gu3,3
灰身灭智,hui1,0
灰身灭智,shen1,1
灰身灭智,mie4,2
灰身灭智,zhi4,3
灰身泯智,hui1,0
灰身泯智,shen1,1
灰身泯智,min3,2
灰身泯智,zhi4,3
灰头土脸,hui1,0
灰头土脸,tou2,1
灰头土脸,tu3,2
灰头土脸,lian3,3
灰头土面,hui1,0
灰头土面,tou2,1
灰头土面,tu3,2
灰头土面,mian4,3
灰心短气,hui1,0
灰心短气,xin1,1
灰心短气,duan3,2
灰心短气,qi4,3
灰心槁形,hui1,0
灰心槁形,xin1,1
灰心槁形,gao3,2
灰心槁形,xing2,3
灰心丧气,hui1,0
灰心丧气,xin1,1
灰心丧气,sang4,2
灰心丧气,qi4,3
灰心丧意,hui1,0
灰心丧意,xin1,1
灰心丧意,sang4,2
灰心丧意,yi4,3
灰烟瘴气,hui1,0
灰烟瘴气,yan1,1
灰烟瘴气,zhang4,2
灰烟瘴气,qi4,3
恢诡谲怪,hui1,0
恢诡谲怪,gui3,1
恢诡谲怪,jue2,2
恢诡谲怪,guai4,3
恢恑憰怪,hui1,0
恢恑憰怪,gui3,1
恢恑憰怪,lian2,2
恢恑憰怪,guai4,3
恢宏大度,hui1,0
恢宏大度,hong2,1
恢宏大度,da4,2
恢宏大度,du4,3
恢恢有余,hui1,0
恢恢有余,hui1,1
恢恢有余,you3,2
恢恢有余,yu2,3
恢廓大度,hui1,0
恢廓大度,kuo4,1
恢廓大度,da4,2
恢廓大度,du4,3
挥斥八极,hui1,0
挥斥八极,chi4,1
挥斥八极,ba1,2
挥斥八极,ji2,3
挥戈反日,hui1,0
挥戈反日,ge1,1
挥戈反日,fan3,2
挥戈反日,ri4,3
挥戈返日,hui1,0
挥戈返日,ge1,1
挥戈返日,fan3,2
挥戈返日,ri4,3
挥戈回日,hui1,0
挥戈回日,ge1,1
挥戈回日,hui2,2
挥戈回日,ri4,3
挥戈退日,hui1,0
挥戈退日,ge1,1
挥戈退日,tui4,2
挥戈退日,ri4,3
挥汗成雨,hui1,0
挥汗成雨,han4,1
挥汗成雨,cheng2,2
挥汗成雨,yu3,3
挥汗如雨,hui1,0
挥汗如雨,han4,1
挥汗如雨,ru2,2
挥汗如雨,yu3,3
挥翰临池,hui1,0
挥翰临池,han4,1
挥翰临池,lin2,2
挥翰临池,chi2,3
挥毫落纸,hui1,0
挥毫落纸,hao2,1
挥毫落纸,luo4,2
挥毫落纸,zhi3,3
挥霍无度,hui1,0
挥霍无度,huo4,1
挥霍无度,wu2,2
挥霍无度,du4,3
挥剑成河,hui1,0
挥剑成河,jian4,1
挥剑成河,cheng2,2
挥剑成河,he2,3
挥金如土,hui1,0
挥金如土,jin1,1
挥金如土,ru2,2
挥金如土,tu3,3
挥沐吐餐,hui1,0
挥沐吐餐,mu4,1
挥沐吐餐,tu3,2
挥沐吐餐,can1,3
挥日阳戈,hui1,0
挥日阳戈,ri4,1
挥日阳戈,yang2,2
挥日阳戈,ge1,3
挥洒自如,hui1,0
挥洒自如,sa3,1
挥洒自如,zi4,2
挥洒自如,ru2,3
晖光日新,hui1,0
晖光日新,guang1,1
晖光日新,ri4,2
晖光日新,xin1,3
辉光日新,hui1,0
辉光日新,guang1,1
辉光日新,ri4,2
辉光日新,xin1,3
辉煌金碧,hui1,0
辉煌金碧,huang2,1
辉煌金碧,jin1,2
辉煌金碧,bi4,3
麾之即去,hui1,0
麾之即去,zhi1,1
麾之即去,ji4,2
麾之即去,qu4,3
隳胆抽肠,hui1,0
隳胆抽肠,dan3,1
隳胆抽肠,chou1,2
隳胆抽肠,chang2,3
隳肝尝胆,hui1,0
隳肝尝胆,gan1,1
隳肝尝胆,chang2,2
隳肝尝胆,dan3,3
隳肝沥胆,hui1,0
隳肝沥胆,gan1,1
隳肝沥胆,li4,2
隳肝沥胆,dan3,3
隳节败名,hui1,0
隳节败名,jie2,1
隳节败名,bai4,2
隳节败名,ming2,3
回肠百转,hui2,0
回肠百转,chang2,1
回肠百转,bai3,2
回肠百转,zhuan3,3
回肠寸断,hui2,0
回肠寸断,chang2,1
回肠寸断,cun4,2
回肠寸断,duan4,3
回肠荡气,hui2,0
回肠荡气,chang2,1
回肠荡气,dang4,2
回肠荡气,qi4,3
回肠九转,hui2,0
回肠九转,chang2,1
回肠九转,jiu3,2
回肠九转,zhuan3,3
回肠伤气,hui2,0
回肠伤气,chang2,1
回肠伤气,shang1,2
回肠伤气,qi4,3
回嗔作喜,hui2,0
回嗔作喜,chen1,1
回嗔作喜,zuo4,2
回嗔作喜,xi3,3
回筹转策,hui2,0
回筹转策,chou2,1
回筹转策,zhuan3,2
回筹转策,ce4,3
回船转舵,hui2,0
回船转舵,chuan2,1
回船转舵,zhan3,2
回船转舵,duo4,3
回春妙手,hui2,0
回春妙手,chun1,1
回春妙手,miao4,2
回春妙手,shou3,3
回春之术,hui2,0
回春之术,chun1,1
回春之术,zhi1,2
回春之术,shu4,3
回干就湿,hui2,0
回干就湿,gan1,1
回干就湿,jiu4,2
回干就湿,shi1,3
回光反照,hui2,0
回光反照,guang1,1
回光反照,fan3,2
回光反照,zhao4,3
回光返照,hui2,0
回光返照,guang1,1
回光返照,fan3,2
回光返照,zhao4,3
回黄转绿,hui2,0
回黄转绿,huang2,1
回黄转绿,zhuan3,2
回黄转绿,lv4,3
回眸一笑,hui2,0
回眸一笑,mou2,1
回眸一笑,yi1,2
回眸一笑,xiao4,3
回山倒海,hui2,0
回山倒海,shan1,1
回山倒海,dao3,2
回山倒海,hai3,3
回山转海,hui2,0
回山转海,shan1,1
回山转海,zhuan3,2
回山转海,hai3,3
回生起死,hui2,0
回生起死,sheng1,1
回生起死,qi3,2
回生起死,si3,3
回天倒日,hui2,0
回天倒日,tian1,1
回天倒日,dao3,2
回天倒日,ri4,3
回天乏术,hui2,0
回天乏术,tian1,1
回天乏术,fa2,2
回天乏术,shu4,3
回天挽日,hui2,0
回天挽日,tian1,1
回天挽日,wan3,2
回天挽日,ri4,3
回天无力,hui2,0
回天无力,tian1,1
回天无力,wu2,2
回天无力,li4,3
回天运斗,hui2,0
回天运斗,tian1,1
回天运斗,yun4,2
回天运斗,dou3,3
回天之力,hui2,0
回天之力,tian1,1
回天之力,zhi1,2
回天之力,li4,3
回天转地,hui2,0
回天转地,tian1,1
回天转地,zhuan3,2
回天转地,di4,3
回头是岸,hui2,0
回头是岸,tou2,1
回头是岸,shi4,2
回头是岸,an4,3
回味无穷,hui2,0
回味无穷,wei4,1
回味无穷,wu2,2
回味无穷,qiong2,3
回文织锦,hui2,0
回文织锦,wen2,1
回文织锦,zhi1,2
回文织锦,jin3,3
回邪入正,hui2,0
回邪入正,xie2,1
回邪入正,ru4,2
回邪入正,zheng4,3
回心转意,hui2,0
回心转意,xin1,1
回心转意,zhuan3,2
回心转意,yi4,3
悔不当初,hui3,0
悔不当初,bu4,1
悔不当初,dang1,2
悔不当初,chu1,3
悔读南华,hui3,0
悔读南华,du2,1
悔读南华,nan2,2
悔读南华,hua2,3
悔过自新,hui3,0
悔过自新,guo4,1
悔过自新,zi4,2
悔过自新,xin1,3
悔过自责,hui3,0
悔过自责,guo4,1
悔过自责,zi4,2
悔过自责,ze4,3
悔恨交加,hui3,0
悔恨交加,hen4,1
悔恨交加,jiao1,2
悔恨交加,jia1,3
悔其少作,hui3,0
悔其少作,qi2,1
悔其少作,shao3,2
悔其少作,zuo4,3
悔之不及,hui3,0
悔之不及,zhi1,1
悔之不及,bu4,2
悔之不及,ji2,3
悔之晚矣,hui3,0
悔之晚矣,zhi1,1
悔之晚矣,wan3,2
悔之晚矣,yi3,3
悔之无及,hui3,0
悔之无及,zhi1,1
悔之无及,wu2,2
悔之无及,ji2,3
悔罪自新,hui3,0
悔罪自新,zui4,1
悔罪自新,zi4,2
悔罪自新,xin1,3
会道能说,hui4,0
会道能说,dao4,1
会道能说,neng2,2
会道能说,shuo1,3
