:VID(string),idiom.pinyin:string
贯朽粟红,"['guan4', 'xiu3', 'su4', 'hong2']"
贯颐备戟,"['guan4', 'yi2', 'bei4', 'ji3']"
贯颐奋戟,"['guan4', 'yi2', 'fen4', 'ji3']"
贯盈恶稔,"['guan4', 'ying2', 'e4', 'ren3']"
贯鱼之次,"['guan4', 'yu2', 'zhi1', 'ci4']"
贯鱼之序,"['guan4', 'yu2', 'zhi1', 'xu4']"
灌夫骂坐,"['guan4', 'fu1', 'ma4', 'zuo4']"
灌夫骂座,"['guan4', 'fu1', 'ma4', 'zuo4']"
光采夺目,"['guang1', 'cai3', 'duo2', 'mu4']"
光彩夺目,"['guang1', 'cai3', 'duo2', 'mu4']"
光彩陆离,"['guang1', 'cai3', 'lu4', 'li2']"
光彩耀目,"['guang1', 'cai3', 'yao4', 'mu4']"
光彩溢目,"['guang1', 'cai3', 'yi4', 'mu4']"
光车骏马,"['guang1', 'che1', 'jun4', 'ma3']"
光风霁月,"['guang1', 'feng1', 'ji4', 'yue4']"
光复旧物,"['guang1', 'fu4', 'jiu4', 'wu4']"
光怪陆离,"['guang1', 'guai4', 'lu4', 'li2']"
光华夺目,"['guang1', 'hua2', 'duo2', 'mu4']"
光辉灿烂,"['guang1', 'hui1', 'can4', 'lan4']"
光可鉴人,"['guang1', 'ke3', 'jian4', 'ren2']"
光芒万丈,"['guang1', 'mang2', 'wan4', 'zhang4']"
光明磊落,"['guang1', 'ming2', 'lei3', 'luo4']"
光明正大,"['guang1', 'ming2', 'zheng4', 'da4']"
光前绝后,"['guang1', 'qian2', 'jue2', 'hou4']"
光前启后,"['guang1', 'qian2', 'qi3', 'hou4']"
光天化日,"['guang1', 'tian1', 'hua4', 'ri4']"
光焰万丈,"['guang1', 'yan4', 'wan4', 'zhang4']"
光阴荏苒,"['guang1', 'yin1', 'ren3', 'ran3']"
光阴如箭,"['guang1', 'yin1', 'ru2', 'jian4']"
光阴似箭,"['guang1', 'yin1', 'si4', 'jian4']"
光宗耀祖,"['guang1', 'zong1', 'yao4', 'zu3']"
广寒仙子,"['guang3', 'han2', 'xian1', 'zi3']"
广见洽闻,"['guang3', 'jian4', 'qia4', 'wen2']"
广结良缘,"['guang3', 'jie2', 'liang2', 'yuan2']"
广开才路,"['guang3', 'kai1', 'cai2', 'lu4']"
广开言路,"['guang3', 'kai1', 'yan2', 'lu4']"
广陵散绝,"['guang3', 'ling2', 'san3', 'jue2']"
广譬曲谕,"['guang3', 'pi4', 'qu3', 'yu4']"
广庭大众,"['guang3', 'ting2', 'da4', 'zhong4']"
广土众民,"['guang3', 'tu3', 'zhong4', 'min2']"
广文先生,"['guang3', 'wen2', 'xian1', 'sheng']"
广夏细旃,"['guang3', 'xia4', 'xi4', 'zhan1']"
广厦万间,"['guang3', 'sha4', 'wan4', 'jian1']"
广种薄收,"['guang3', 'zhong4', 'bo2', 'shou1']"
归根到底,"['gui1', 'gen1', 'dao4', 'di3']"
归根结底,"['gui1', 'gen1', 'jie2', 'di3']"
归根结柢,"['gui1', 'gen1', 'jie2', 'di3']"
归根结蒂,"['gui1', 'gen1', 'jie2', 'di4']"
归根究柢,"['gui1', 'gen1', 'jiu1', 'di3']"
归马放牛,"['gui1', 'ma3', 'fang4', 'niu2']"
归奇顾怪,"['gui1', 'qi2', 'gu4', 'guai4']"
归去来兮,"['gui1', 'qu4', 'lai2', 'xi1']"
归全反真,"['gui1', 'quan2', 'fan3', 'zhen1']"
归十归一,"['gui1', 'shi2', 'gui1', 'yi1']"
归邪转曜,"['gui1', 'xie2', 'zhuan3', 'yao4']"
归心如箭,"['gui1', 'xin1', 'ru2', 'jian4']"
归心似箭,"['gui1', 'xin1', 'si4', 'jian4']"
归真反璞,"['gui1', 'zhen1', 'fan3', 'pu2']"
归真反朴,"['gui1', 'zhen1', 'fan3', 'pu3']"
归正邱首,"['gui1', 'zheng4', 'qiu1', 'shou3']"
归正守丘,"['gui1', 'zheng4', 'shou3', 'qiu1']"
归正首丘,"['gui1', 'zheng4', 'shou3', 'qiu1']"
归正首邱,"['gui1', 'zheng4', 'shou3', 'qiu1']"
归之若水,"['gui1', 'zhi1', 'ruo4', 'shui3']"
圭角岸然,"['gui1', 'jiao3', 'an4', 'ran2']"
圭角不露,"['gui1', 'jiao3', 'bu4', 'lu4']"
圭璋特达,"['gui1', 'zhang1', 'te4', 'da2']"
龟鹤遐龄,"['gui1', 'he4', 'xia2', 'ling2']"
龟鹤遐寿,"['gui1', 'he4', 'xia2', 'shou4']"
龟冷支床,"['gui1', 'leng3', 'zhi1', 'chuang2']"
龟冷搘床,"['gui1', 'leng3', 'zhi1', 'chuang2']"
龟龄鹤算,"['gui1', 'ling2', 'he4', 'suan4']"
龟龙鳞凤,"['gui1', 'long2', 'lin2', 'feng4']"
龟龙麟凤,"['gui1', 'long2', 'lin2', 'feng4']"
龟龙片甲,"['gui1', 'long2', 'pian4', 'jia3']"
龟毛兔角,"['gui1', 'mao2', 'tu4', 'jiao3']"
龟年鹤寿,"['gui1', 'nian2', 'he4', 'shou4']"
龟年鹤算,"['gui1', 'nian2', 'he4', 'suan4']"
龟文鸟迹,"['gui1', 'wen2', 'niao3', 'ji4']"
龟厌不告,"['gui1', 'yan4', 'bu4', 'gao4']"
龟玉毁椟,"['gui1', 'yu4', 'hui3', 'du2']"
规矩钩绳,"['gui1', 'ju3', 'gou1', 'sheng2']"
规矩绳墨,"['gui1', 'ju3', 'sheng2', 'mo4']"
规矩准绳,"['gui1', 'ju3', 'zhun3', 'sheng2']"
规求无度,"['gui1', 'qiu2', 'wu2', 'du4']"
规绳矩墨,"['gui1', 'sheng2', 'ju3', 'mo4']"
规天矩地,"['gui1', 'tian1', 'ju3', 'di4']"
规贤矩圣,"['gui1', 'xian2', 'ju3', 'sheng4']"
规行矩步,"['gui1', 'xing2', 'ju3', 'bu4']"
规行矩止,"['gui1', 'xing2', 'ju3', 'zhi3']"
规旋矩折,"['gui1', 'xuan2', 'ju3', 'she2']"
规言矩步,"['gui1', 'yan2', 'ju3', 'bu4']"
规圆矩方,"['gui1', 'yuan2', 'ju3', 'fang1']"
规重矩迭,"['gui1', 'zhong4', 'ju3', 'die2']"
规重矩叠,"['gui1', 'chong2', 'ju3', 'die2']"
闺英闱秀,"['gui1', 'ying1', 'wei2', 'xiu4']"
珪璋特达,"['gui1', 'zhang1', 'te4', 'da2']"
瑰意奇行,"['gui1', 'yi4', 'qi2', 'xing2']"
瑰意琦行,"['gui1', 'yi4', 'qi2', 'xing2']"
轨物范世,"['gui1', 'wu4', 'fan4', 'shi4']"
佹得佹失,"['gui3', 'de2', 'gui3', 'shi1']"
佹形僪状,"['gui3', 'xing2', 'yu4', 'zhuang4']"
诡变多端,"['gui3', 'bian4', 'duo1', 'duan1']"
诡诞不经,"['gui3', 'dan4', 'bu4', 'jing1']"
诡计多端,"['gui3', 'ji4', 'duo1', 'duan1']"
诡谲多变,"['gui3', 'jue2', 'duo1', 'bian4']"
诡谲怪诞,"['gui3', 'jue2', 'guai4', 'dan4']"
诡秘莫测,"['gui3', 'mi4', 'mo4', 'ce4']"
诡衔窃辔,"['gui3', 'xian2', 'qie4', 'pei4']"
诡形奇制,"['gui3', 'xing2', 'qi2', 'zhi4']"
诡雅异俗,"['gui3', 'ya3', 'yi4', 'su2']"
诡言浮说,"['gui3', 'yan2', 'fu2', 'shuo1']"
鬼出电入,"['gui3', 'chu1', 'dian4', 'ru4']"
鬼出神入,"['gui3', 'chu1', 'shen2', 'ru4']"
鬼斧神工,"['gui3', 'fu3', 'shen2', 'gong1']"
鬼工雷斧,"['gui3', 'gong1', 'lei2', 'fu3']"
鬼功神力,"['gui3', 'gong1', 'shen2', 'li4']"
鬼鬼祟祟,"['gui3', 'gui3', 'sui4', 'sui4']"
鬼话连篇,"['gui3', 'hua4', 'lian2', 'pian1']"
鬼计百端,"['gui3', 'ji4', 'bai3', 'duan1']"
鬼计多端,"['gui3', 'ji4', 'duo1', 'duan1']"
鬼瞰高明,"['gui3', 'kan4', 'gao1', 'ming2']"
鬼瞰其室,"['gui3', 'kan4', 'qi2', 'shi4']"
鬼刻神劖,"['gui3', 'ke4', 'shen2', 'chan2']"
鬼哭狼嗥,"['gui3', 'ku1', 'lang2', 'hao2']"
鬼哭狼嚎,"['gui3', 'ku1', 'lang2', 'hao2']"
鬼哭神愁,"['gui3', 'ku1', 'shen2', 'chou2']"
鬼哭神嚎,"['gui3', 'ku1', 'shen2', 'hao2']"
鬼哭神号,"['gui3', 'ku1', 'shen2', 'hao4']"
鬼哭神惊,"['gui3', 'ku1', 'shen2', 'jing1']"
鬼哭粟飞,"['gui3', 'ku1', 'su4', 'fei1']"
鬼哭天愁,"['gui3', 'ku1', 'tian1', 'chou2']"
鬼烂神焦,"['gui3', 'lan4', 'shen2', 'jiao1']"
鬼魅伎俩,"['gui3', 'mei4', 'ji4', 'liang3']"
鬼迷心窍,"['gui3', 'mi2', 'xin1', 'qiao4']"
鬼怕恶人,"['gui3', 'pa4', 'er4', 'en2']"
鬼泣神嚎,"['gui3', 'qi4', 'shen2', 'hao2']"
鬼泣神号,"['gui3', 'qi4', 'shen2', 'hao4']"
鬼设神使,"['gui3', 'she4', 'shen2', 'shi3']"
鬼神不测,"['gui3', 'shen2', 'bu4', 'ce4']"
鬼神莫测,"['gui3', 'shen2', 'mo4', 'ce4']"
鬼使神差,"['gui3', 'shi3', 'shen2', 'chai1']"
鬼头鬼脑,"['gui3', 'tou2', 'gui3', 'nao3']"
鬼头滑脑,"['gui3', 'tou2', 'hua2', 'nao3']"
鬼形怪状,"['gui3', 'xing2', 'guai4', 'zhuang4']"
鬼蜮伎俩,"['gui3', 'yu4', 'ji4', 'liang3']"
鬼蜮技俩,"['gui3', 'yu4', 'ji4', 'lia3']"
鬼吒狼嚎,"['gui3', 'zha4', 'lang2', 'hao2']"
鬼咤狼嚎,"['gui3', 'zha4', 'lang2', 'hao2']"
鬼抓狼嚎,"['gui3', 'zhua1', 'lang2', 'hao2']"
刿目怵心,"['gui4', 'mu4', 'chu4', 'xin1']"
刿目鉥心,"['gui4', 'mu4', 'xu4', 'xin1']"
刿鉥肝肾,"['gui4', 'xu4', 'gan1', 'shen4']"
刿鉥心腑,"['gui4', 'xu4', 'xin1', 'fu3']"
刿心怵目,"['gui4', 'xin1', 'chu4', 'mu4']"
刿心刳肺,"['gui4', 'xin1', 'ku1', 'fei4']"
刿心刳腹,"['gui4', 'xin1', 'ku1', 'fu4']"
刿心鉥肾,"['gui4', 'xin1', 'xu4', 'shen4']"
贵不可言,"['gui4', 'bu4', 'ke3', 'yan2']"
贵不期骄,"['gui4', 'bu4', 'qi1', 'jiao1']"
贵不召骄,"['gui4', 'bu4', 'zhao4', 'jiao1']"
贵而贱目,"['gui4', 'er2', 'jian4', 'mu4']"
贵耳贱目,"['gui4', 'er3', 'jian4', 'mu4']"
贵古贱今,"['gui4', 'gu3', 'jian4', 'jin1']"
贵极人臣,"['gui4', 'ji2', 'ren2', 'chen2']"
贵贱高下,"['gui4', 'jian4', 'gao1', 'xia4']"
贵贱无常,"['gui4', 'jian4', 'wu2', 'chang2']"
贵贱无二,"['gui4', 'jian4', 'wu2', 'eer4']"
贵人多忘,"['gui4', 'ren2', 'duo1', 'wang4']"
贵人贱己,"['gui4', 'ren2', 'jian4', 'ji3']"
贵人善忘,"['gui4', 'ren2', 'shan4', 'wang4']"
贵少贱老,"['gui4', 'shao3', 'jian4', 'lao3']"
贵阴贱璧,"['gui4', 'yin1', 'jian4', 'bi4']"
贵远鄙近,"['gui4', 'yuan3', 'bi3', 'jin4']"
贵远贱近,"['gui4', 'yuan3', 'jian4', 'jin4']"
贵在知心,"['gui4', 'zai4', 'zhi1', 'xin1']"
贵壮贱老,"['gui4', 'zhuang4', 'jian4', 'lao3']"
贵壮贱弱,"['gui4', 'zhuang4', 'jian4', 'ruo4']"
桂殿兰宫,"['gui4', 'dian4', 'lan2', 'gong1']"
桂馥兰香,"['gui4', 'fu4', 'lan2', 'xiang1']"
桂酒椒浆,"['gui4', 'jiu3', 'jiao1', 'jiang1']"
桂林杏苑,"['gui4', 'lin2', 'xing4', 'yuan4']"
桂林一枝,"['gui4', 'lin2', 'yi1', 'zhi1']"
桂薪玉粒,"['gui4', 'xin1', 'yu4', 'li4']"
桂玉之地,"['gui4', 'yu4', 'zhi1', 'di4']"
桂折兰摧,"['gui4', 'she2', 'lan2', 'cui1']"
桂折一枝,"['gui4', 'she2', 'yi1', 'zhi1']"
桂枝片玉,"['gui4', 'zhi1', 'pian4', 'yu4']"
桂子兰孙,"['gui4', 'zi3', 'lan2', 'sun1']"
桂子飘香,"['gui4', 'zi3', 'piao1', 'xiang1']"
衮衮诸公,"['gun3', 'gun3', 'zhu1', 'gong1']"
滚瓜烂熟,"['gun3', 'gua1', 'lan4', 'shu2']"
滚瓜流水,"['gun3', 'gua1', 'liu2', 'shui3']"
国步艰难,"['guo2', 'bu4', 'jian1', 'nan2']"
国仇家恨,"['guo2', 'chou2', 'jia1', 'hen4']"
国而忘家,"['guo2', 'er2', 'wang4', 'jia1']"
国尔忘家,"['guo2', 'er3', 'wang4', 'jia1']"
国耳忘家,"['guo2', 'er3', 'wang4', 'jia1']"
国富兵强,"['guo2', 'fu4', 'bing1', 'qiang2']"
国富民安,"['guo2', 'fu4', 'min2', 'an1']"
国富民丰,"['guo2', 'fu4', 'min2', 'feng1']"
国富民强,"['guo2', 'fu4', 'min2', 'qiang2']"
国计民生,"['guo2', 'ji4', 'min2', 'sheng1']"
国家栋梁,"['guo2', 'jia1', 'dong4', 'liang2']"
国将不国,"['guo2', 'jiang1', 'bu4', 'guo2']"
国难当头,"['guo2', 'nan4', 'dang1', 'tou2']"
国破家亡,"['guo2', 'po4', 'jia1', 'wang2']"
国色天香,"['guo2', 'se4', 'tian1', 'xiang1']"
国色天姿,"['guo2', 'se4', 'tian1', 'zi1']"
国士无双,"['guo2', 'shi4', 'wu2', 'shuang1']"
国泰民安,"['guo2', 'tai4', 'min2', 'an1']"
国无二君,"['guo2', 'wu2', 'er4', 'jun1']"
国无宁日,"['guo2', 'wu2', 'ning2', 'ri4']"
国之干城,"['guo2', 'zhi1', 'gan1', 'cheng2']"
果不其然,"['guo3', 'bu4', 'qi2', 'ran2']"
果然如此,"['guo3', 'ran2', 'ru2', 'ci3']"
果熟蒂落,"['guo3', 'shu2', 'di4', 'luo4']"
果刑信赏,"['guo3', 'xing2', 'xin4', 'shang3']"
果行育德,"['guo3', 'xing2', 'yu4', 'de2']"
果于自信,"['guo3', 'yu2', 'zi4', 'xin4']"
裹粮坐甲,"['guo3', 'liang2', 'zuo4', 'jia3']"
裹尸马革,"['guo3', 'shi1', 'ma3', 'ge2']"
裹血力战,"['guo3', 'xue4', 'li4', 'zhan4']"
裹足不前,"['guo3', 'zu2', 'bu4', 'qian2']"
过从甚密,"['guo4', 'cong2', 'shen4', 'mi4']"
过都历块,"['guo4', 'dou1', 'li4', 'kuai4']"
过而能改,"['guo4', 'er2', 'neng2', 'gai3']"
过府冲州,"['guo4', 'fu3', 'chong1', 'zhou1']"
过河拆桥,"['guo4', 'he2', 'chai1', 'qiao2']"
过河卒子,"['guo4', 'he2', 'zu2', 'zi3']"
过化存神,"['guo4', 'hua4', 'cun2', 'shen2']"
过江之鲫,"['guo4', 'jiang1', 'zhi1', 'ji4']"
过街老鼠,"['guo4', 'jie1', 'lao3', 'shu3']"
过路财神,"['guo4', 'lu4', 'cai2', 'shen2']"
过门不入,"['guo4', 'men2', 'bu4', 'ru4']"
过目不忘,"['guo4', 'mu4', 'bu4', 'wang4']"
过目成诵,"['guo4', 'mu4', 'cheng2', 'song4']"
过桥拆桥,"['guo4', 'qiao2', 'chai1', 'qiao2']"
过桥抽板,"['guo4', 'qiao2', 'chou1', 'ban3']"
过甚其词,"['guo4', 'shen4', 'qi2', 'ci2']"
过甚其辞,"['guo4', 'shen4', 'qi2', 'ci2']"
过时黄花,"['guo4', 'shi2', 'huang2', 'hua1']"
过市招摇,"['guo4', 'shi4', 'zhao1', 'yao2']"
过庭之训,"['guo4', 'ting2', 'zhi1', 'xun4']"
过屠大嚼,"['guo4', 'tu2', 'da4', 'jue2']"
过为已甚,"['guo4', 'wei2', 'yi3', 'shen4']"
过隙白驹,"['guo4', 'xi1', 'bai2', 'ju1']"
过眼烟云,"['guo4', 'yan3', 'yan1', 'yun2']"
过眼云烟,"['guo4', 'yan3', 'yun2', 'yan1']"
过犹不及,"['guo4', 'you2', 'bu4', 'ji2']"
海北天南,"['hai3', 'bei3', 'tian1', 'nan2']"
海不波溢,"['hai3', 'bu4', 'bo1', 'yi4']"
海不扬波,"['hai3', 'bu4', 'yang2', 'bo1']"
海底捞月,"['hai3', 'di3', 'lao1', 'yue4']"
海底捞针,"['hai3', 'di3', 'lao1', 'zhen1']"
海沸波翻,"['hai3', 'fei4', 'bo1', 'fan1']"
海沸河翻,"['hai3', 'fei4', 'he2', 'fan1']"
海沸江翻,"['hai3', 'fei4', 'jiang1', 'fan1']"
海沸山崩,"['hai3', 'fei4', 'shan1', 'beng1']"
海沸山裂,"['hai3', 'fei4', 'shan1', 'lie4']"
海沸山摇,"['hai3', 'fei4', 'shan1', 'yao2']"
海怀霞想,"['hai3', 'huai2', 'xia2', 'xiang3']"
海角天涯,"['hai3', 'jiao3', 'tian1', 'ya2']"
海角天隅,"['hai3', 'jiao3', 'tian1', 'yu2']"
海枯见底,"['hai3', 'ku1', 'jian4', 'di3']"
海枯石烂,"['hai3', 'ku1', 'shi2', 'lan4']"
海阔天高,"['hai3', 'kuo4', 'tian1', 'gao1']"
海阔天空,"['hai3', 'kuo4', 'tian1', 'kong1']"
海立云垂,"['hai3', 'li4', 'yun2', 'chui2']"
海盟山咒,"['hai3', 'meng2', 'shan1', 'zhou4']"
海内鼎沸,"['hai3', 'nei4', 'ding3', 'fei4']"
海内无双,"['hai3', 'nei4', 'wu2', 'shuang1']"
海纳百川,"['hai3', 'na4', 'bai3', 'chuan1']"
海桑陵谷,"['hai3', 'sang1', 'ling2', 'gu3']"
海市蜃楼,"['hai3', 'shi4', 'shen4', 'lou2']"
海誓山盟,"['hai3', 'shi4', 'shan1', 'meng2']"
海水难量,"['hai3', 'shui3', 'nan2', 'liang2']"
海水群飞,"['hai3', 'shui3', 'qun2', 'fei1']"
海水桑田,"['hai3', 'shui3', 'sang1', 'tian2']"
海外奇谈,"['hai3', 'wai4', 'qi2', 'tan2']"
海屋筹添,"['hai3', 'wu1', 'chou2', 'tian1']"
海屋添筹,"['hai3', 'wu1', 'tian1', 'chou2']"
海啸山崩,"['hai3', 'xiao4', 'shan1', 'beng1']"
海涯天角,"['hai3', 'ya2', 'tian1', 'jiao3']"
海晏河清,"['hai3', 'yan4', 'he2', 'qing1']"
海约山盟,"['hai3', 'yue1', 'shan1', 'meng2']"
海中捞月,"['hai3', 'zhong1', 'lao1', 'yue4']"
亥豕相望,"['hai4', 'shi3', 'xiang1', 'wang4']"
骇浪惊涛,"['hai4', 'lang4', 'jing1', 'tao1']"
骇龙走蛇,"['hai4', 'long2', 'zou3', 'she2']"
骇目惊心,"['hai4', 'mu4', 'jing1', 'xin1']"
骇目振心,"['hai4', 'mu4', 'zhen4', 'xin1']"
骇人视听,"['hai4', 'ren2', 'shi4', 'ting1']"
骇人听闻,"['hai4', 'ren2', 'ting1', 'wen2']"
骇人闻见,"['hai4', 'ren2', 'wen2', 'jian4']"
骇人闻听,"['hai4', 'ren2', 'wen2', 'ting1']"
骇心动目,"['hai4', 'xin1', 'dong4', 'mu4']"
骇状殊形,"['hai4', 'zhuang4', 'shu1', 'xing2']"
害群之马,"['hai4', 'qun2', 'zhi1', 'ma3']"
害人不浅,"['hai4', 'ren2', 'bu4', 'qian3']"
酣畅淋漓,"['han1', 'chang4', 'lin2', 'li2']"
酣歌恒舞,"['han1', 'ge1', 'heng2', 'wu3']"
酣歌醉舞,"['han1', 'ge1', 'zui4', 'wu3']"
酣然入梦,"['han1', 'ran2', 'ru4', 'meng4']"
酣痛淋漓,"['han1', 'tong4', 'lin2', 'li2']"
酣嬉淋漓,"['han1', 'xi1', 'lin2', 'li2']"
憨状可掬,"['han1', 'zhuang4', 'ke3', 'ju1']"
鼾声如雷,"['han1', 'sheng1', 'ru2', 'lei2']"
含苞待放,"['han2', 'bao1', 'dai4', 'fang4']"
含苞欲放,"['han2', 'bao1', 'yu4', 'fang4']"
含冰茹檗,"['han2', 'bing1', 'ru2', 'bo4']"
含哺鼓腹,"['han2', 'bu3', 'gu3', 'fu4']"
含齿戴发,"['han2', 'chi3', 'dai4', 'fa1']"
含宫咀征,"['han2', 'gong1', 'ju3', 'zheng1']"
含宫咀徵,"['han2', 'gong1', 'ju3', 'zheng1']"
含垢包羞,"['han2', 'gou4', 'bao1', 'xiu1']"
含垢藏疾,"['han2', 'gou3', 'cang2', 'ji2']"
含垢藏瑕,"['han2', 'gou4', 'cang2', 'xia2']"
含垢纳污,"['han2', 'gou4', 'na4', 'wu1']"
含垢匿瑕,"['han2', 'gou4', 'ni4', 'xia2']"
含垢弃瑕,"['han2', 'gou4', 'qi4', 'xia2']"
含垢忍耻,"['han2', 'gou4', 'ren3', 'chi3']"
含垢忍辱,"['han2', 'gou4', 'ren3', 'ru3']"
含垢忍污,"['han2', 'gou4', 'ren3', 'wu1']"
含糊不明,"['han2', 'hu2', 'bu4', 'ming2']"
含糊其词,"['han2', 'hu2', 'qi2', 'ci2']"
含糊其辞,"['han2', 'hu2', 'qi2', 'ci2']"
含菁咀华,"['han2', 'jing1', 'ju3', 'hua2']"
含蓼问疾,"['han2', 'liao3', 'wen4', 'ji2']"
含明隐迹,"['han2', 'ming2', 'yin3', 'ji4']"
含情脉脉,"['han2', 'qing2', 'mo4', 'mo4']"
含仁怀义,"['han2', 'ren2', 'huai2', 'yi4']"
含沙射影,"['han2', 'sha1', 'she4', 'ying3']"
含商咀征,"['han2', 'shang1', 'ju3', 'zheng1']"
含商咀徵,"['han2', 'shang1', 'ju3', 'zheng1']"
含霜履雪,"['han2', 'shuang1', 'lv3', 'xue3']"
含污忍垢,"['han2', 'wu1', 'ren3', 'gou4']"
含瑕积垢,"['han2', 'xia2', 'ji1', 'gou4']"
含笑九泉,"['han2', 'xiao4', 'jiu3', 'quan2']"
含笑入地,"['han2', 'xiao4', 'ru4', 'di4']"
含辛忍苦,"['han2', 'xin1', 'ren3', 'ku3']"
含辛茹苦,"['han2', 'xin1', 'ru2', 'ku3']"
含血喷人,"['han2', 'xue4', 'pen1', 'ren2']"
含血潠人,"['han2', 'xue4', 'xun4', 'ren2']"
含血噀人,"['han2', 'xue4', 'xun4', 'ren2']"
含牙带角,"['han2', 'ya2', 'dai4', 'jiao3']"
含牙戴角,"['han2', 'ya2', 'dai4', 'jiao3']"
含饴弄孙,"['han2', 'yi2', 'nong4', 'sun1']"
含英咀华,"['han2', 'ying1', 'ju3', 'hua2']"
含冤负屈,"['han2', 'yuan1', 'fu4', 'qu1']"
含冤莫白,"['han2', 'yuan1', 'mo4', 'bai2']"
含冤受屈,"['han2', 'yuan1', 'shou4', 'qu1']"
含章天挺,"['han2', 'zhang1', 'tian1', 'ting3']"
含章挺生,"['han2', 'zhang1', 'ting3', 'sheng1']"
邯郸匍匐,"['han2', 'dan1', 'pu2', 'fu2']"
邯郸学步,"['han2', 'dan1', 'xue2', 'bu4']"
邯郸重步,"['han2', 'dan1', 'zhong2', 'bu4']"
函盖充周,"['han2', 'gai4', 'chong1', 'zhou1']"
函盖乾坤,"['han2', 'gai4', 'qian2', 'kun1']"
函矢相攻,"['han2', 'shi3', 'xiang1', 'gong1']"
寒蝉僵鸟,"['han2', 'chan2', 'jiang1', 'niao3']"
寒蝉凄切,"['han2', 'chan2', 'qi1', 'qie4']"
寒蝉仗马,"['han2', 'chan2', 'zhang4', 'ma3']"
寒冬腊月,"['han2', 'dong1', 'la4', 'yue4']"
寒风侵肌,"['han2', 'feng1', 'qin1', 'ji1']"
寒腹短识,"['han2', 'fu4', 'duan3', 'shi2']"
寒耕热耘,"['han2', 'geng1', 're4', 'yun4']"
寒耕暑耘,"['han2', 'geng1', 'shu3', 'yun4']"
寒花晚节,"['han2', 'hua1', 'wan3', 'jie2']"
寒灰更然,"['han2', 'hui1', 'geng4', 'ran2']"
寒来暑往,"['han2', 'lai2', 'shu3', 'wang3']"
寒毛卓竖,"['han2', 'mao2', 'zhuo2', 'shu4']"
寒木春华,"['han2', 'mu4', 'chun1', 'hua2']"
寒泉之思,"['han2', 'quan2', 'zhi1', 'si1']"
寒酸落魄,"['han2', 'suan1', 'luo4', 'po4']"
寒心酸鼻,"['han2', 'xin1', 'suan1', 'bi2']"
寒心消志,"['han2', 'xin1', 'xiao1', 'zhi4']"
寒心销志,"['han2', 'xin1', 'xiao1', 'zhi4']"
韩潮苏海,"['han2', 'chao2', 'su1', 'hai3']"
韩海苏潮,"['han2', 'hai3', 'su1', 'chao2']"
韩卢逐块,"['han2', 'lu2', 'zhu2', 'kuai4']"
韩卢逐逡,"['han2', 'lu2', 'zhu2', 'qun1']"
韩寿分香,"['han2', 'shou4', 'fen1', 'xiang1']"
韩寿偷香,"['han2', 'shou4', 'tou1', 'xiang1']"
罕譬而喻,"['han3', 'pi4', 'er2', 'yu4']"
罕言寡语,"['han3', 'yan2', 'gua3', 'yu3']"
喊冤叫屈,"['han3', 'yuan1', 'jiao4', 'qu1']"
汉官威仪,"['han4', 'guan1', 'wei1', 'yi2']"
汉人煮箦,"['han4', 'ren2', 'zhu3', 'ze2']"
汗不敢出,"['han4', 'bu4', 'gan3', 'chu1']"
汗出浃背,"['han4', 'chu1', 'jia1', 'bei4']"
汗出洽背,"['han4', 'chu1', 'qia4', 'bei4']"
汗流夹背,"['han4', 'liu2', 'jia1', 'bei4']"
汗流浃背,"['han4', 'liu2', 'jia1', 'bei4']"
汗流浃肤,"['han4', 'liu2', 'jia1', 'fu1']"
汗流浃体,"['han4', 'liu2', 'jia1', 'ti3']"
汗流浃踵,"['han4', 'liu2', 'jia1', 'zhong3']"
汗流接踵,"['han4', 'liu2', 'jie1', 'zhong3']"
汗流满面,"['han4', 'liu2', 'man3', 'mian4']"
汗流洽背,"['han4', 'liu2', 'qia4', 'bei4']"
汗流洽衣,"['han4', 'liu2', 'qia4', 'yi1']"
汗流至踵,"['han4', 'liu2', 'zhi4', 'zhong3']"
汗马功劳,"['han4', 'ma3', 'gong1', 'lao2']"
汗马之功,"['han4', 'ma3', 'zhi1', 'gong1']"
汗马之劳,"['han4', 'ma3', 'zhi1', 'lao2']"
汗牛充栋,"['han4', 'niu2', 'chong1', 'dong4']"
汗牛充屋,"['han4', 'niu2', 'chong1', 'wu1']"
汗牛塞栋,"['han4', 'niu2', 'sai1', 'dong4']"
汗洽股栗,"['han4', 'qia4', 'gu3', 'li4']"
汗青头白,"['han4', 'qing1', 'tou2', 'bai2']"
汗如雨下,"['han4', 'ru2', 'yu3', 'xia4']"
汗血盐车,"['han4', 'xue4', 'yan2', 'che1']"
汗颜无地,"['han4', 'yan2', 'wu2', 'di4']"
旱魃为虐,"['han4', 'ba2', 'wei4', 'nve4']"
旱苗得雨,"['han4', 'miao2', 'de2', 'yu3']"
悍然不顾,"['han4', 'ran2', 'bu4', 'gu4']"
熯天炽地,"['han4', 'tian1', 'chi4', 'di4']"
撼地摇天,"['han4', 'di4', 'yao2', 'tian1']"
撼树蚍蜉,"['han4', 'shu4', 'bi2', 'fu2']"
撼天震地,"['han4', 'tian1', 'zhen4', 'di4']"
航海梯山,"['hang2', 'hai3', 'ti1', 'shan1']"
沆瀣一气,"['hang4', 'xie4', 'yi1', 'qi4']"
蒿目时艰,"['hang4', 'mu4', 'shi2', 'jian1']"
